index,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK,Prediction,r2 Score
9 Ganges Way,Bertram,315000,3,2,2,297,114,2013,33000,Kwinana Station,1500,6/01/2017,6167,-32.24826257,115.8473661,THE KING'S COLLEGE,1.036576835,,288622.6349,0.505279455
8 Corrour Bend,Bertram,285000,3,2,2,311,106,2012,31900,Kwinana Station,377,11/01/2017,6167,-32.23877211,115.8440365,THE KING'S COLLEGE,1.799818135,,285013.9667,0.505279455
13 Corrour Bend,Bertram,360000,3,2,2,319,140,2012,31900,Kwinana Station,391,2/01/2017,6167,-32.23854203,115.8435576,THE KING'S COLLEGE,1.813539316,,311918.1269,0.505279455
14 Ludlow Way,Bertram,290000,3,2,1,242,110,2012,32000,Kwinana Station,525,4/01/2016,6167,-32.23956516,115.8444668,THE KING'S COLLEGE,1.726241753,,274106.5585,0.505279455
117 Millbrook Avenue,Bertram,305000,3,2,1,208,116,2012,31800,Kwinana Station,349,9/01/2016,6167,-32.23797043,115.8441379,THE KING'S COLLEGE,1.88846235,,272785.9184,0.505279455
7 Millom Way,Bertram,360000,3,2,2,274,116,2012,31900,Kwinana Station,426,2/01/2016,6167,-32.23868393,115.8442695,THE KING'S COLLEGE,1.815072738,,286183.1315,0.505279455
14 Champion Drive,Bertram,290000,4,2,2,350,143,2012,32800,Kwinana Station,1400,4/01/2019,6167,-32.247044,115.845337,THE KING'S COLLEGE,1.008227931,,332082.3557,0.505279455
10 Corrour Bend,Bertram,245000,3,2,1,301,105,2012,31900,Kwinana Station,415,6/01/2019,6167,-32.23866083,115.8439947,THE KING'S COLLEGE,1.810765464,,280462.3684,0.505279455
76 Centennial Avenue,Bertram,360000,4,2,2,524,142,2011,33400,Kwinana Station,2100,2/01/2016,6167,-32.25257401,115.8513705,THE KING'S COLLEGE,1.174460331,,361149.3604,0.505279455
7 Tain Way,Bertram,300000,3,2,2,382,126,2011,32000,Kwinana Station,563,2/01/2019,6167,-32.23976873,115.8449361,THE KING'S COLLEGE,1.718270443,,312200.6145,0.505279455
4 Datchet Turn,Bertram,283000,3,2,2,312,117,2011,31900,Kwinana Station,328,7/01/2019,6167,-32.2380129,115.841925,THE KING'S COLLEGE,1.842282174,,293446.0816,0.505279455
22 Ludlow Way,Bertram,285000,3,2,1,224,107,2011,32000,Kwinana Station,528,4/01/2016,6167,-32.23947811,115.8447957,THE KING'S COLLEGE,1.744796076,,268769.0086,0.505279455
