,SUBURB,Mean House Price,Median House Price,Variance House Price,Standard Deviation House Price,SEM House Price,Mean BATHROOMS,Mean BEDROOMS,Mean GARAGE,Mean LAND_AREA,Mean BUILD_YEAR,Mean CBD_DIST,Mean STATION DISTANCE,Mean SELL DATE,Lat_precise,Long_precise,state,postcode
0,ALEXANDER HEIGHTS,453285.1563,448500,8340687731,91327.36573,8072.274952,1.8515625,3.7890625,2.140625,627.703125,1992,13968.75,7085.9375,2017,-31.8269026,115.8671293,WA,6064
1,ALFRED COVE,840086.5667,803000,59679580061,244294.0443,22300.89312,1.791666667,3.508333333,1.983333333,616.7416667,1990,9787.958333,3881.133333,2016,-32.0318604,115.8181396,WA,6154
2,ALKIMOS,413749.807,395000,10882972500,104321.4863,9770.602389,1.973684211,3.631578947,1.877192982,9031.622807,2010,40705.26316,2512.45614,2019,-31.6171563,115.6805868,WA,6038
3,ANKETELL,1008763.158,1000000,77138232456,277737.7044,63717.39928,2.105263158,4.157894737,2.736842105,21029.36842,1997,29368.42105,4005.263158,2011,-32.2179086,115.8593099,WA,6167
4,APPLECROSS,1376689.873,1355000,2.64051E+11,513859.144,57813.67057,2.303797468,3.784810127,2.35443038,777.0126582,1989,7141.772152,1811.670886,2018,-32.0116062,115.8387269,WA,6153
5,APPLECROSS,1376689.873,1355000,2.64051E+11,513859.144,57813.67057,2.303797468,3.784810127,2.35443038,777.0126582,1989,7141.772152,1811.670886,2018,-32.0116,115.839,WA,6953
6,ARDROSS,1072145.322,1032500,1.02021E+11,319407.3314,29037.03013,2.066115702,3.727272727,2.008264463,542.9090909,1991,8528.099174,2404.132231,2017,-32.0221019,115.8353491,WA,6153
7,ARMADALE,246611.1111,210000,62647713262,250295.2522,31534.2377,1.174603175,3.222222222,1.571428571,838.2222222,1981,25782.53968,1082.444444,2019,-32.1473012,116.0128764,WA,6112
8,ARMADALE,246611.1111,210000,62647713262,250295.2522,31534.2377,1.174603175,3.222222222,1.571428571,838.2222222,1981,25782.53968,1082.444444,2019,-32.1473012,116.0128764,WA,6992
9,ASCOT,803359.1667,762500,67745311176,260279.2946,23760.14015,2,3.566666667,2.091666667,687.2583333,1995,6890,2303.333333,2016,-31.9354582,115.9297299,WA,6104
10,ASHBY,483321.6292,490000,3576108188,59800.57013,4482.242233,1.988764045,3.758426966,1.994382022,513.3876404,2006,24733.76404,3236.41573,2015,-31.7331506,115.7993996,WA,6065
11,ASHFIELD,484939.0244,460000,26189511597,161831.7385,12636.9357,1.567073171,3.347560976,1.817073171,646.1158537,1984,8398.780488,600.0914634,2012,-31.9172344,115.9366041,WA,6054
12,ATTADALE,1192734.711,1182500,2.24399E+11,473708.069,44366.82563,2.184210526,3.754385965,1.964912281,775.2719298,1984,9911.403509,4585.964912,2018,-32.0248597,115.7996837,WA,6156
13,ATWELL,542581.7846,525000,12453751706,111596.3786,7991.582657,1.969230769,3.8,1.958974359,594.1589744,2001,21368.71795,2245.702564,2018,-32.1460122,115.8651336,WA,6164
14,AUBIN GROVE,570786.5185,567525,9160915159,95712.66979,7519.89754,2.037037037,3.919753086,2.308641975,562.3518519,2006,24174.69136,4954.938272,2017,-32.1683982,115.8611445,WA,6164
15,AVELEY,440986.4865,440000,8596986211,92719.93427,7621.531648,1.993243243,3.77027027,2.094594595,20786.86486,2006,22337.83784,12284.45946,2019,-31.7775422,115.9864678,WA,6069
16,BALCATTA,524628.169,515000,24648199195,156997.4496,18632.16936,1.647887324,3.197183099,1.76056338,723.0704225,1989,8836.619718,2769.014085,2018,-31.8601754,115.8104652,WA,6021
