,SUBURB,Mean BATHROOMS,Mean BEDROOMS,Mean GARAGE,Mean LAND_AREA,Mean BUILD_YEAR,Mean CBD_DIST,Mean STATION DISTANCE,Mean SELL DATE,Lat_precise,Long_precise,state,postcode
0,ALEXANDER HEIGHTS,1.8515625,3.7890625,2.140625,627.703125,1991.8515625,13968.75,7085.9375,2017,-31.8269026,115.8671293,WA,6064
1,ALFRED COVE,1.7916666666666667,3.5083333333333333,1.9833333333333332,616.7416666666667,1989.6416666666669,9787.958333333334,3881.133333333333,2016,-32.0318604,115.8181396,WA,6154
2,ALKIMOS,1.973684210526316,3.631578947368421,1.8771929824561404,9031.622807017544,2009.929824561404,40705.26315789474,2512.4561403508774,2019,-31.6171563,115.6805868,WA,6038
3,ANKETELL,2.1052631578947367,4.157894736842105,2.736842105263158,21029.36842105263,1997.2631578947369,29368.42105263158,4005.2631578947367,2011,-32.2179086,115.8593099,WA,6167
4,APPLECROSS,2.3037974683544302,3.784810126582279,2.354430379746836,777.0126582278481,1988.6708860759493,7141.772151898735,1811.6708860759493,2018,-32.0116062,115.8387269,WA,6153
5,APPLECROSS,2.3037974683544302,3.784810126582279,2.354430379746836,777.0126582278481,1988.6708860759493,7141.772151898735,1811.6708860759493,2018,-32.0116,115.839,WA,6953
6,ARDROSS,2.066115702479338,3.727272727272727,2.008264462809917,542.9090909090909,1991.429752066116,8528.099173553719,2404.1322314049585,2017,-32.0221019,115.8353491,WA,6153
8,ARMADALE,1.1746031746031746,3.2222222222222223,1.5714285714285714,838.2222222222222,1981.15873015873,25782.53968253968,1082.4444444444443,2019,-32.1473012,116.0128764,WA,6112
9,ARMADALE,1.1746031746031746,3.2222222222222223,1.5714285714285714,838.2222222222222,1981.15873015873,25782.53968253968,1082.4444444444443,2019,-32.1473012,116.0128764,WA,6992
14,ASCOT,2.0,3.566666666666667,2.091666666666667,687.2583333333333,1994.7416666666663,6890.0,2303.333333333333,2016,-31.9354582,115.9297299,WA,6104
16,ASHBY,1.98876404494382,3.758426966292135,1.9943820224719104,513.3876404494382,2005.6685393258424,24733.76404494382,3236.4157303370785,2015,-31.7331506,115.7993996,WA,6065
20,ASHFIELD,1.5670731707317074,3.347560975609756,1.8170731707317076,646.1158536585366,1984.3475609756097,8398.780487804877,600.0914634146342,2012,-31.9172344,115.9366041,WA,6054
21,ATTADALE,2.1842105263157894,3.754385964912281,1.9649122807017545,775.2719298245614,1983.745614035088,9911.40350877193,4585.964912280701,2018,-32.0248597,115.7996837,WA,6156
22,ATWELL,1.9692307692307691,3.8,1.958974358974359,594.1589743589743,2000.7794871794872,21368.71794871795,2245.702564102564,2018,-32.1460122,115.8651336,WA,6164
23,AUBIN GROVE,2.037037037037037,3.919753086419753,2.308641975308642,562.3518518518518,2005.5617283950617,24174.69135802469,4954.938271604939,2017,-32.1683982,115.8611445,WA,6164
24,AVELEY,1.9932432432432432,3.77027027027027,2.0945945945945947,20786.864864864863,2006.3986486486488,22337.83783783784,12284.45945945946,2019,-31.7775422,115.9864678,WA,6069
25,BALCATTA,1.647887323943662,3.197183098591549,1.7605633802816902,723.0704225352113,1989.4788732394368,8836.61971830986,2769.0140845070423,2018,-31.8601754,115.8104652,WA,6021
26,BALCATTA,1.647887323943662,3.197183098591549,1.7605633802816902,723.0704225352113,1989.4788732394368,8836.61971830986,2769.0140845070423,2018,-31.8601754,115.8104652,WA,6914
