,SUBURB,r2 Score,property_count
292,Carmel,0.95961989,9
125,West Perth,0.925073065,19
180,Henley Brook,0.92295504,97
257,Peppermint Grove,0.906281962,9
24,Subiaco,0.883261964,61
75,Balcatta,0.882519991,71
256,Jarrahdale,0.879488507,47
37,Brentwood,0.879276058,67
201,Wanneroo,0.855524351,134
99,Burswood,0.851467502,32
72,Wellard,0.850073581,91
77,Nollamara,0.848176327,39
124,Kelmscott,0.845939662,113
83,Wattle Grove,0.84516306,188
13,Inglewood,0.836243742,108
227,Swan View,0.833335057,91
281,Gnangara,0.832255737,19
50,Maylands,0.830180202,65
74,Joondalup,0.82451388,108
63,Piara Waters,0.819514857,106
45,Yokine,0.811191272,53
251,Mount Richon,0.808345925,61
172,Quinns Rocks,0.805985344,155
224,Bull Creek,0.805000887,78
4,Harrisdale,0.801778405,147
174,Maida Vale,0.799462079,180
48,North Beach,0.797050777,97
228,Two Rocks,0.792287702,83
113,Hillarys,0.788595847,140
170,Carramar,0.78856919,208
179,Forrestfield,0.786583494,118
164,Jandakot,0.78483061,114
60,Kewdale,0.784826614,78
51,Brabham,0.782761617,58
267,Parkerville,0.779762745,64
114,Baldivis,0.778147975,102
26,Dayton,0.7702349,72
107,Coogee,0.769573529,127
33,Ellenbrook,0.76801675,150
28,Yanchep,0.766706167,114
104,Spearwood,0.766448263,71
7,Aveley,0.763880994,147
80,Tuart Hill,0.76293971,45
29,Doubleview,0.758371727,96
194,Warnbro,0.757574684,153
53,Claremont,0.756356775,59
66,Melville,0.75548124,101
23,Mount Claremont,0.755311268,135
253,Lesmurdie,0.752307564,119
122,Attadale,0.751865752,114
87,Highgate,0.750253502,33
240,Karawara,0.75008208,41
218,Thornlie,0.747905405,91
126,Secret Harbour,0.745907063,191
56,Gwelup,0.744829503,182
103,Southern River,0.744774421,132
0,Butler,0.744291229,207
58,Caversham,0.741327513,138
27,Fremantle,0.740052553,66
2,Banksia Grove,0.735880463,165
91,Bassendean,0.731093577,95
252,Viveash,0.730658799,16
3,Pearsall,0.73064693,145
5,Shenton Park,0.730478833,99
173,Mount Nasura,0.72967569,87
59,Atwell,0.726480252,192
15,South Fremantle,0.725699366,87
150,Ballajura,0.725002754,134
243,Coolbinia,0.724664277,37
265,Stoneville,0.723218456,76
123,The Vines,0.722674478,160
109,Manning,0.721774204,151
46,Karrinyup,0.719803974,115
43,Jindalee,0.717060386,109
81,East Fremantle,0.717041456,100
255,Herne Hill,0.716076452,27
231,Leda,0.714807876,56
217,Woodvale,0.712655001,91
31,East Victoria Park,0.712134939,83
169,Yangebup,0.71006158,130
94,Iluka,0.709397212,212
140,Helena Valley,0.708433619,160
40,Madeley,0.707044771,163
14,Clarkson,0.704698908,170
214,Sorrento,0.704354345,95
52,Victoria Park,0.703150972,50
209,Ocean Reef,0.700407439,101
274,Cardup,0.699960597,27
78,Myaree,0.699465763,68
10,Queens Park,0.696991892,95
160,Murdoch,0.696153369,38
271,Chidlow,0.695432579,40
36,Stirling,0.693615312,142
100,Westminster,0.692619089,47
12,West Leederville,0.690907895,78
61,Mosman Park,0.687317688,95
221,Duncraig,0.686043506,88
118,Morley,0.685868701,61
258,Kalamunda,0.684982332,83
41,Mount Hawthorn,0.683109339,106
189,Port Kennedy,0.682898996,182
178,High Wycombe,0.681478709,157
188,Kardinya,0.681235511,63
82,South Guildford,0.673437612,172
212,Safety Bay,0.667306725,97
110,Bibra Lake,0.666265083,130
127,Wembley,0.664728055,63
156,Waikiki,0.66266092,135
203,Carine,0.661064082,114
121,Hammond Park,0.660320667,104
245,Greenmount,0.659829125,88
57,Aubin Grove,0.659185549,161
25,Bentley,0.657234428,81
268,Serpentine,0.65659087,63
102,Golden Bay,0.653279316,81
161,Burns Beach,0.652620739,132
17,Innaloo,0.652139894,60
76,Mount Pleasant,0.651388951,108
95,Beeliar,0.650873451,158
226,Bateman,0.650727688,77
273,Boya,0.650630637,29
241,Ashfield,0.649415806,39
187,Nedlands,0.647783622,104
199,Alexander Heights,0.646980075,122
166,Eden Hill,0.645522358,71
135,Bicton,0.644883999,77
238,Menora,0.643499814,50
230,Willetton,0.640926596,59
1,Alkimos,0.640841113,114
196,Mullaloo,0.640042406,125
101,Guildford,0.638884665,95
284,Upper Swan,0.636810227,14
131,Como,0.63564181,60
223,Kingsley,0.630365709,80
211,Beechboro,0.627606081,97
275,Sawyers Valley,0.627009724,26
137,South Perth,0.625875941,48
62,Mindarie,0.623977643,202
67,Currambine,0.623680282,177
260,Roleystone,0.616171766,118
139,Canning Vale,0.611478182,154
278,Mahogany Creek,0.609847819,22
6,Bertram,0.606883812,231
116,Willagee,0.604223453,95
70,Riverton,0.603398471,92
35,Swanbourne,0.601885799,108
158,Dianella,0.600104354,72
73,Bedford,0.599122302,82
184,Woodbridge,0.597563319,36
134,Tapping,0.595904951,197
16,Wandi,0.594925338,82
235,Marmion,0.594918709,51
269,Gidgegannup,0.59463707,57
44,Carlisle,0.59227165,71
130,Applecross,0.591839855,79
105,Byford,0.590613337,122
206,Edgewater,0.589531056,109
38,White Gum Valley,0.587078745,91
261,Mount Helena,0.586691185,117
148,Crawley,0.586282493,13
171,Floreat,0.579280427,127
97,Kensington,0.574231575,126
182,Daglish,0.570325158,32
207,Warwick,0.568483245,108
39,Ardross,0.564666012,116
30,Embleton,0.559622289,96
86,Landsdale,0.5592361,158
213,Leeming,0.55843065,96
249,Jolimont,0.556469114,20
19,Joondanna,0.553755804,80
266,Glen Forrest,0.551970964,73
111,Shoalwater,0.548769913,106
216,Padbury,0.544193783,92
159,Watermans Bay,0.54235566,51
225,Winthrop,0.539533936,78
112,Cloverdale,0.533507029,64
96,Palmyra,0.53103419,86
264,Bedfordale,0.527216907,95
155,Booragoon,0.519202158,86
89,Cottesloe,0.518196416,63
119,Champion Lakes,0.517360242,28
200,Hamersley,0.512027476,117
144,Rivervale,0.510192721,61
204,Marangaroo,0.509118816,112
176,Parkwood,0.505637794,116
276,Brigadoon,0.503896701,25
295,Belhus,0.503637821,8
42,East Cannington,0.500338071,113
49,Darch,0.49467568,201
236,Samson,0.490799693,47
229,Rossmoyne,0.489228085,74
262,Gooseberry Hill,0.48612927,101
198,Heathridge,0.484370595,123
250,Mundijong,0.48051884,39
120,Midland,0.476581111,61
193,Kinross,0.476185161,141
32,North Perth,0.46827024,73
92,Hilton,0.46369595,87
219,Medina,0.461972518,91
208,Greenwood,0.456268229,116
259,Darlington,0.454962558,129
18,Ascot,0.451470397,92
8,Redcliffe,0.44917461,151
47,Sinagra,0.446629535,128
175,Bennett Springs,0.434566243,171
84,St James,0.424761032,82
263,Mundaring,0.423181675,100
162,Gosnells,0.421639845,81
149,City Beach,0.421339822,156
54,Scarborough,0.410438182,61
145,Connolly,0.398943565,110
294,West Swan,0.387529403,8
197,Cooloongup,0.387483162,124
117,Hamilton Hill,0.385034959,74
191,Jane Brook,0.372555332,186
153,Salter Point,0.36636802,101
147,Brookdale,0.364816347,70
142,Kallaroo,0.364674,144
165,Singleton,0.354082584,152
71,Balga,0.352178543,57
64,Alfred Cove,0.35171334,111
177,Seville Grove,0.349561761,118
232,Hillman,0.347953523,56
195,Beldon,0.34689483,131
20,Ridgewood,0.342291367,174
277,Banjup,0.340489969,25
98,Ashby,0.333262763,115
157,Success,0.332360023,114
22,Beaconsfield,0.330835977,114
202,Camillo,0.321868106,115
108,Coolbellup,0.318624784,90
205,Parmelia,0.315643334,110
192,Huntingdale,0.311807665,177
215,Noranda,0.309034961,92
233,Beckenham,0.308381428,64
270,Oakford,0.290294196,53
242,Calista,0.286214652,38
239,Bellevue,0.271461862,42
90,Mount Lawley,0.263331722,78
136,Maddington,0.260396331,86
106,Lynwood,0.259606347,94
272,Darling Downs,0.259585144,31
279,Martin,0.255039594,21
234,Kiara,0.222858065,52
146,Mirrabooka,0.204204263,137
220,Koondoola,0.184123946,90
244,North Lake,0.178973102,36
210,Ferndale,0.158263355,115
190,Merriwa,0.149929809,200
290,Walliston,0.126512918,10
222,Craigie,0.119457699,82
168,Hocking,0.111062679,181
115,Woodlands,0.099000551,88
163,Armadale,0.094413213,57
237,Bullsbrook,0.085082567,98
79,Stratton,0.07097746,131
69,Lockridge,0.070964016,93
181,Waterford,0.050450872,62
154,Orelia,0.044609265,141
132,Lathlain,0.02038075,60
138,Rockingham,0.017537365,89
186,Kwinana Town Centre,-0.032832292,8
288,Forrestdale,-0.039615734,12
246,Koongamia,-0.26048661,28
143,Leederville,-0.297617405,14
248,Dalkeith,-0.312835956,71
282,Mariginiup,-0.35017523,18
283,Wooroloo,-0.351197922,15
128,Kenwick,-0.445312236,150
185,Karnup,-0.452205701,29
183,Middle Swan,-0.510794395,69
34,Churchlands,-0.511470353,132
21,Cannington,-0.533230644,84
291,Orange Grove,-0.591842577,10
167,Girrawheen,-0.632484726,87
289,Hazelmere,-0.651568377,12
85,Belmont,-0.741171125,68
286,Bickley,-2.200966225,13
129,Wembley Downs,-2.363585048,117
151,Trigg,-2.678666447,99
280,Hovea,-3.303419376,21
254,Cockburn Central,-4.0093923,14
152,Langford,-4.080814532,120
133,Shelley,-4.132219436,65
65,North Coogee,-6.164290128,46
11,Eglinton,-6.437628654,70
285,Casuarina,-6.768002885,14
293,Glendalough,-8.007985998,8
141,South Lake,-8.488484944,151
55,Hilbert,-9.600388218,71
93,Wilson,-12.15995343,77
88,Osborne Park,-12.24002597,40
9,North Fremantle,-13.73975212,67
