,SUBURB,r2 Score
0,Floreat,0.5672405291913516
1,City Beach,0.3592606303214878
2,Dalkeith,0.47459853205923086
3,Mosman Park,0.5290514071087253
4,Watermans Bay,0.556061589083837
5,Peppermint Grove,0.10667587595173067
6,Hazelmere,-0.04862023772396684
7,Applecross,0.1322117276564223
8,East Fremantle,0.6991573696000191
9,Mindarie,0.38957857475119106
10,Churchlands,0.2876067951621011
11,Swanbourne,0.6408330531434461
12,Rossmoyne,0.6075093962921381
13,Cottesloe,0.1420032326365941
14,North Fremantle,0.3331549522509941
15,Mariginiup,-0.4310825264255309
16,Darling Downs,-0.21476804914980807
17,Gnangara,0.04707304994395545
18,Marmion,0.40706608143949397
19,Coolbinia,0.6324681356897932
20,Trigg,0.6320158852751281
21,Nedlands,0.5089670298231548
22,Attadale,0.5217195050899655
23,Henley Brook,0.7621752570101984
24,Bicton,0.6445096230173466
25,Menora,0.37527093779506293
26,South Perth,0.22256641260547094
27,Keysbrook,-1.5928570833227247
28,West Perth,0.2527199539556707
29,Karrinyup,0.5565536802702706
30,West Leederville,0.712273802604733
31,Mount Pleasant,0.5705344866921609
32,Champion Lakes,0.500290246369872
33,Guildford,0.6419251108844549
34,Claremont,0.19728612174599935
35,Mount Lawley,0.5515888258352355
36,South Fremantle,0.5286069238790225
37,Martin,0.4489805539878454
38,North Beach,0.47083966678865297
39,North Coogee,0.29945250886695296
40,Brigadoon,0.16353245231704705
41,Ardross,0.6021997792731215
42,Kallaroo,0.7882680103395727
43,Shenton Park,0.22457832974612824
44,Armadale,-18.76000790359038
45,Mount Claremont,0.2232485719961338
46,Baskerville,-0.6250604644819786
47,Sorrento,0.7140834406966228
48,Upper Swan,-1.303921953125402
49,Bennett Springs,0.20327886853293053
50,Salter Point,0.5515089914495444
51,Ascot,0.5228853376949026
52,Subiaco,-0.5170795524318221
53,Forrestdale,0.37894058106625106
54,Mount Hawthorn,0.47116648621458723
55,Crawley,-2.8069750110082805
56,Kenwick,-0.11448748050871349
57,Beaconsfield,0.3063359619483247
58,Bickley,0.2343510004697117
59,Brentwood,0.6985877984916786
60,Walliston,-2.715055091286506
61,Midland,-9.905364964547996
62,Maylands,0.8692428534282309
63,Hillarys,0.7632714211616122
64,Oldbury,-0.07246351234611348
65,Doubleview,0.6169276199997936
66,Wembley Downs,0.5494153109031192
67,Coogee,0.6759841037828389
68,Orange Grove,-0.48451040218327157
69,Woodlands,-0.7737735752918518
